Order Date,Year,Month,Region,Category,Sub-Category,Sales
2017-12-11,2017,12,East,Office Supplies,Fasteners,15.26
2017-12-11,2017,12,East,Technology,Phones,1029.95
2017-06-17,2017,6,East,Office Supplies,Storage,208.56
2017-06-17,2017,6,East,Office Supplies,Paper,32.4
2017-06-17,2017,6,East,Furniture,Chairs,319.41
2017-06-17,2017,6,East,Office Supplies,Paper,14.56
2017-06-17,2017,6,East,Technology,Accessories,30.0
2017-06-17,2017,6,East,Office Supplies,Binders,48.48
2017-06-17,2017,6,East,Office Supplies,Art,1.68
2016-11-24,2016,11,West,Technology,Accessories,13.98
2016-11-24,2016,11,West,Office Supplies,Binders,25.824
2016-11-24,2016,11,West,Office Supplies,Paper,146.73
2016-11-24,2016,11,West,Furniture,Furnishings,79.76
2016-04-30,2016,4,Central,Furniture,Chairs,213.115
2015-12-05,2015,12,West,Office Supplies,Art,1113.024
2015-12-05,2015,12,West,Technology,Phones,167.968
2017-06-04,2017,6,South,Office Supplies,Paper,75.88
2017-09-18,2017,9,East,Office Supplies,Binders,4.616
2018-09-14,2018,9,Central,Office Supplies,Paper,19.05
2016-04-26,2016,4,South,Furniture,Chairs,831.936
2016-04-26,2016,4,South,Furniture,Furnishings,97.04
2016-04-26,2016,4,South,Office Supplies,Storage,72.784
2018-12-09,2018,12,Central,Office Supplies,Binders,1.248
2018-12-09,2018,12,Central,Furniture,Furnishings,9.708
2018-12-09,2018,12,Central,Office Supplies,Storage,27.24
2015-11-26,2015,11,Central,Furniture,Furnishings,19.3
2017-06-12,2017,6,South,Office Supplies,Appliances,208.16
2017-06-12,2017,6,South,Office Supplies,Binders,16.74
2015-10-12,2015,10,West,Office Supplies,Art,14.9
2015-10-12,2015,10,West,Office Supplies,Storage,21.39
2016-09-03,2016,9,South,Office Supplies,Envelopes,200.984
2018-11-13,2018,11,Central,Office Supplies,Storage,230.376
2018-05-28,2018,5,South,Furniture,Chairs,301.96
2018-10-26,2018,10,Central,Technology,Accessories,19.99
2018-10-26,2018,10,Central,Office Supplies,Labels,6.16
2017-04-05,2017,4,Central,Office Supplies,Storage,158.368
2017-09-17,2017,9,West,Office Supplies,Art,20.1
2017-09-17,2017,9,West,Technology,Phones,73.584
2017-09-17,2017,9,West,Office Supplies,Paper,6.48
2016-01-31,2016,1,Central,Office Supplies,Paper,12.96
2016-01-31,2016,1,Central,Furniture,Furnishings,53.34
2016-01-31,2016,1,Central,Office Supplies,Binders,32.96
2018-11-06,2018,11,West,Office Supplies,Binders,5.682
2018-11-09,2018,11,East,Furniture,Furnishings,96.53
2018-06-17,2018,6,West,Office Supplies,Binders,51.312
2017-09-06,2017,9,Central,Office Supplies,Appliances,77.88
2017-08-29,2017,8,Central,Office Supplies,Paper,64.624
2017-08-29,2017,8,Central,Technology,Accessories,95.976
2017-08-29,2017,8,Central,Office Supplies,Binders,1.788
2017-12-01,2017,12,Central,Office Supplies,Paper,23.92
2016-11-13,2016,11,West,Technology,Accessories,238.896
2016-11-13,2016,11,West,Furniture,Furnishings,102.36
2016-11-13,2016,11,West,Office Supplies,Binders,36.882
2018-11-23,2018,11,South,Technology,Accessories,74.112
2018-11-23,2018,11,South,Technology,Phones,27.992
2018-11-23,2018,11,South,Office Supplies,Art,3.304
2016-10-15,2016,10,Central,Technology,Accessories,339.96
2018-12-25,2018,12,East,Furniture,Furnishings,41.96
2017-11-03,2017,11,Central,Office Supplies,Art,75.96
2017-11-03,2017,11,Central,Office Supplies,Binders,27.24
2015-08-25,2015,8,East,Office Supplies,Fasteners,40.096
2015-08-25,2015,8,East,Office Supplies,Envelopes,4.72
2015-08-25,2015,8,East,Office Supplies,Paper,23.976
2015-08-25,2015,8,East,Office Supplies,Envelopes,130.464
2016-03-02,2016,3,West,Furniture,Tables,787.53
2016-04-05,2016,4,South,Office Supplies,Binders,157.794
2017-06-12,2017,6,East,Furniture,Furnishings,47.04
2017-06-12,2017,6,East,Office Supplies,Binders,30.84
2017-06-12,2017,6,East,Office Supplies,Storage,226.56
2017-06-12,2017,6,East,Office Supplies,Envelopes,115.02
2017-06-12,2017,6,East,Technology,Phones,68.04
2015-12-26,2015,12,Central,Furniture,Chairs,600.558
2015-09-20,2015,9,Central,Furniture,Tables,617.7
2018-11-05,2018,11,West,Office Supplies,Binders,2.388
2018-11-05,2018,11,West,Office Supplies,Storage,243.992
2017-11-06,2017,11,West,Furniture,Chairs,81.424
2017-11-06,2017,11,West,Furniture,Furnishings,238.56
2018-02-02,2018,2,East,Technology,Phones,59.97
2018-02-02,2018,2,East,Office Supplies,Paper,78.304
2018-02-02,2018,2,East,Office Supplies,Fasteners,21.456
2017-10-13,2017,10,West,Office Supplies,Paper,20.04
2017-10-13,2017,10,West,Office Supplies,Paper,35.44
2017-10-13,2017,10,West,Office Supplies,Art,11.52
2017-10-13,2017,10,West,Office Supplies,Fasteners,4.02
2017-10-13,2017,10,West,Office Supplies,Binders,76.176
2017-10-13,2017,10,West,Office Supplies,Supplies,65.88
2017-10-13,2017,10,West,Furniture,Furnishings,43.12
2017-09-05,2017,9,East,Furniture,Furnishings,82.8
2018-09-18,2018,9,West,Office Supplies,Art,8.82
2018-09-18,2018,9,West,Office Supplies,Envelopes,10.86
2018-09-18,2018,9,West,Office Supplies,Paper,143.7
2018-12-22,2018,12,Central,Office Supplies,Appliances,839.43
2016-09-07,2016,9,West,Office Supplies,Storage,671.93
2015-10-22,2015,10,East,Furniture,Furnishings,93.888
2017-12-05,2017,12,Central,Technology,Phones,384.45
2017-12-05,2017,12,Central,Technology,Phones,149.97
2017-12-05,2017,12,Central,Furniture,Chairs,1951.84
2017-12-05,2017,12,Central,Office Supplies,Binders,171.55
2017-03-13,2017,3,West,Office Supplies,Appliances,157.92
2017-03-13,2017,3,West,Technology,Phones,203.184
2016-05-31,2016,5,West,Office Supplies,Paper,58.38
2016-05-31,2016,5,West,Office Supplies,Paper,105.52
2016-05-31,2016,5,West,Office Supplies,Storage,80.88
2016-05-28,2016,5,West,Office Supplies,Art,6.63
2015-03-01,2015,3,West,Furniture,Chairs,457.568
2017-11-20,2017,11,Central,Office Supplies,Labels,14.62
2017-11-20,2017,11,Central,Technology,Phones,944.93
2017-05-11,2017,5,West,Office Supplies,Paper,5.98
2016-12-28,2016,12,East,Technology,Accessories,54.384
2017-11-16,2017,11,West,Office Supplies,Envelopes,28.4
2017-11-07,2017,11,West,Office Supplies,Binders,27.68
2015-09-08,2015,9,Central,Office Supplies,Art,9.936
2015-09-08,2015,9,Central,Technology,Machines,8159.952
2015-09-08,2015,9,Central,Office Supplies,Storage,275.928
2015-09-08,2015,9,Central,Furniture,Chairs,1740.06
2015-09-08,2015,9,Central,Office Supplies,Art,32.064
2015-09-08,2015,9,Central,Office Supplies,Appliances,177.98
2015-09-08,2015,9,Central,Technology,Phones,143.976
2015-08-05,2015,8,West,Office Supplies,Paper,20.94
2015-08-05,2015,8,West,Office Supplies,Paper,110.96
2015-08-05,2015,8,West,Furniture,Chairs,340.144
2015-09-14,2015,9,Central,Office Supplies,Appliances,52.448
2015-09-14,2015,9,Central,Office Supplies,Labels,20.16
2018-04-21,2018,4,Central,Office Supplies,Appliances,97.264
2016-11-21,2016,11,East,Furniture,Chairs,396.802
2016-11-21,2016,11,East,Office Supplies,Supplies,15.88
2016-12-15,2016,12,East,Office Supplies,Art,3.28
2015-12-05,2015,12,Central,Office Supplies,Storage,24.816
2015-12-05,2015,12,Central,Technology,Accessories,408.744
2015-11-19,2015,11,South,Technology,Phones,503.96
2015-11-19,2015,11,South,Technology,Phones,149.95
2015-11-19,2015,11,South,Technology,Accessories,29.0
2017-11-28,2017,11,East,Office Supplies,Binders,7.16
2015-08-26,2015,8,West,Technology,Accessories,176.8
2017-07-16,2017,7,Central,Office Supplies,Storage,37.224
2017-07-16,2017,7,Central,Office Supplies,Paper,20.016
2016-10-12,2016,10,East,Furniture,Bookcases,899.136
2016-10-12,2016,10,East,Technology,Phones,71.76
2016-10-12,2016,10,East,Office Supplies,Paper,51.84
2016-10-12,2016,10,East,Furniture,Bookcases,626.352
2016-10-12,2016,10,East,Office Supplies,Art,19.9
2016-10-31,2016,10,West,Office Supplies,Envelopes,14.28
2015-03-21,2015,3,East,Office Supplies,Art,7.408
2015-03-21,2015,3,East,Office Supplies,Art,6.048
2018-11-06,2018,11,East,Office Supplies,Storage,46.26
2018-07-06,2018,7,East,Office Supplies,Binders,2.946
2018-07-06,2018,7,East,Office Supplies,Paper,16.056
2018-06-24,2018,6,East,Office Supplies,Paper,21.744
2015-08-03,2015,8,West,Furniture,Tables,218.75
2015-08-03,2015,8,West,Office Supplies,Appliances,2.6
2018-12-17,2018,12,Central,Office Supplies,Appliances,66.284
2018-06-03,2018,6,South,Furniture,Furnishings,35.168
2018-12-09,2018,12,West,Technology,Phones,444.768
2018-12-01,2018,12,Central,Office Supplies,Storage,83.92
2018-12-01,2018,12,Central,Technology,Phones,131.98
2018-12-01,2018,12,Central,Office Supplies,Binders,15.92
2018-12-01,2018,12,Central,Office Supplies,Fasteners,52.29
2018-12-01,2018,12,Central,Office Supplies,Storage,91.99
2016-02-09,2016,2,Central,Technology,Accessories,20.8
2016-01-02,2016,1,East,Office Supplies,Labels,23.68
2016-01-02,2016,1,East,Furniture,Bookcases,452.45
2016-01-02,2016,1,East,Technology,Phones,62.982
2016-01-02,2016,1,East,Technology,Machines,1188.0
2016-01-02,2016,1,East,Technology,Accessories,89.584
2017-10-28,2017,10,West,Office Supplies,Storage,93.06
2017-10-28,2017,10,West,Technology,Phones,302.376
2016-12-24,2016,12,East,Office Supplies,Fasteners,5.584
2016-12-24,2016,12,East,Office Supplies,Paper,22.704
2016-12-24,2016,12,East,Office Supplies,Binders,19.776
2016-12-24,2016,12,East,Furniture,Furnishings,72.704
2016-12-24,2016,12,East,Technology,Machines,479.988
2016-12-24,2016,12,East,Office Supplies,Art,27.168
2016-08-09,2016,8,Central,Office Supplies,Art,2.2
2016-08-09,2016,8,Central,Furniture,Tables,622.45
2016-08-09,2016,8,Central,Office Supplies,Storage,21.98
2016-02-28,2016,2,South,Furniture,Chairs,161.568
2016-02-28,2016,2,South,Furniture,Chairs,389.696
2015-09-13,2015,9,South,Office Supplies,Binders,18.648
2018-04-07,2018,4,South,Furniture,Tables,233.86
2018-04-07,2018,4,South,Furniture,Tables,620.6145
2018-04-07,2018,4,South,Office Supplies,Binders,5.328
2018-04-07,2018,4,South,Furniture,Furnishings,258.072
2018-04-07,2018,4,South,Technology,Accessories,617.976
2018-11-12,2018,11,West,Office Supplies,Paper,10.56
2017-06-04,2017,6,Central,Office Supplies,Paper,25.92
2017-06-04,2017,6,Central,Furniture,Furnishings,419.68
2017-06-04,2017,6,Central,Furniture,Furnishings,11.688
2017-06-04,2017,6,Central,Technology,Phones,31.984
2017-06-04,2017,6,Central,Furniture,Tables,177.225
2017-06-04,2017,6,Central,Furniture,Furnishings,4.044
2017-06-04,2017,6,Central,Office Supplies,Art,7.408
2015-06-01,2015,6,Central,Furniture,Chairs,2001.86
2015-06-01,2015,6,Central,Office Supplies,Storage,166.72
2015-06-01,2015,6,Central,Office Supplies,Paper,47.88
2015-06-01,2015,6,Central,Office Supplies,Appliances,1503.25
2015-06-01,2015,6,Central,Office Supplies,Paper,25.92
2017-12-10,2017,12,West,Furniture,Chairs,321.568
2017-09-11,2017,9,West,Office Supplies,Paper,7.61
2017-09-11,2017,9,West,Technology,Accessories,3347.37
2017-12-10,2017,12,East,Office Supplies,Storage,80.58
2017-12-10,2017,12,East,Office Supplies,Envelopes,361.92
2016-11-28,2016,11,Central,Furniture,Furnishings,12.132
2016-11-28,2016,11,Central,Office Supplies,Storage,82.368
2016-11-28,2016,11,Central,Office Supplies,Storage,53.92
2016-11-28,2016,11,Central,Technology,Phones,647.904
2018-12-01,2018,12,East,Technology,Accessories,20.37
2018-12-01,2018,12,East,Office Supplies,Storage,221.55
2018-12-01,2018,12,East,Office Supplies,Binders,17.52
2018-06-08,2018,6,Central,Office Supplies,Appliances,1.624
2015-09-19,2015,9,Central,Technology,Machines,3059.982
2015-09-19,2015,9,Central,Technology,Machines,2519.958
2017-06-06,2017,6,Central,Technology,Phones,328.224
2016-11-10,2016,11,West,Technology,Accessories,79.9
2018-06-16,2018,6,South,Office Supplies,Art,14.016
2017-01-22,2017,1,East,Office Supplies,Fasteners,7.56
2018-12-09,2018,12,East,Office Supplies,Storage,37.208
2018-12-09,2018,12,East,Office Supplies,Envelopes,57.576
2018-12-28,2018,12,West,Office Supplies,Storage,725.84
2016-07-30,2016,7,West,Technology,Accessories,209.93
2016-07-30,2016,7,West,Furniture,Furnishings,5.28
2016-07-30,2016,7,West,Office Supplies,Binders,10.92
2018-09-16,2018,9,West,Office Supplies,Paper,8.82
2018-09-16,2018,9,West,Office Supplies,Art,5.98
2018-10-13,2018,10,East,Office Supplies,Paper,11.648
2018-10-13,2018,10,East,Office Supplies,Paper,18.176
2018-10-13,2018,10,East,Office Supplies,Storage,59.712
2018-10-13,2018,10,East,Office Supplies,Labels,24.84
2016-09-26,2016,9,Central,Office Supplies,Binders,2.08
2016-09-26,2016,9,Central,Technology,Phones,1114.4
2016-11-02,2016,11,West,Furniture,Tables,1038.84
2016-09-26,2016,9,West,Office Supplies,Paper,141.76
2016-09-26,2016,9,West,Technology,Accessories,239.8
2016-09-26,2016,9,West,Office Supplies,Paper,31.104
2017-12-18,2017,12,South,Office Supplies,Binders,254.058
2017-12-18,2017,12,South,Office Supplies,Appliances,194.528
2017-12-18,2017,12,South,Office Supplies,Supplies,961.48
2017-11-20,2017,11,East,Office Supplies,Fasteners,19.096
2017-11-20,2017,11,East,Office Supplies,Labels,18.496
2017-11-20,2017,11,East,Technology,Accessories,255.984
2017-11-20,2017,11,East,Furniture,Bookcases,86.97
2015-12-26,2015,12,West,Furniture,Furnishings,300.416
2015-12-26,2015,12,West,Furniture,Chairs,230.352
2015-12-26,2015,12,West,Furniture,Furnishings,218.352
2015-12-26,2015,12,West,Office Supplies,Binders,78.6
2015-12-26,2015,12,West,Office Supplies,Fasteners,27.552
2017-10-28,2017,10,East,Office Supplies,Paper,32.4
2017-10-28,2017,10,East,Office Supplies,Storage,1082.48
2017-10-28,2017,10,East,Office Supplies,Paper,56.91
2017-10-28,2017,10,East,Furniture,Furnishings,77.6
2017-10-28,2017,10,East,Office Supplies,Binders,14.28
2018-11-19,2018,11,Central,Furniture,Tables,219.075
2016-05-04,2016,5,East,Furniture,Furnishings,26.8
2015-12-30,2015,12,Central,Office Supplies,Art,9.84
2015-06-01,2015,6,East,Office Supplies,Binders,45.48
2015-06-01,2015,6,East,Office Supplies,Art,289.2
2018-04-15,2018,4,South,Office Supplies,Art,4.89
2017-09-12,2017,9,West,Furniture,Furnishings,15.136
2017-09-12,2017,9,West,Furniture,Chairs,466.768
2017-09-12,2017,9,West,Furniture,Furnishings,15.232
2017-09-12,2017,9,West,Office Supplies,Labels,6.264
2015-09-27,2015,9,East,Furniture,Furnishings,87.54
2015-08-09,2015,8,South,Technology,Phones,178.384
2015-08-09,2015,8,South,Office Supplies,Paper,15.552
2015-12-28,2015,12,East,Office Supplies,Art,99.136
2015-11-04,2015,11,East,Furniture,Chairs,135.882
2015-11-04,2015,11,East,Technology,Machines,3991.98
2015-11-04,2015,11,East,Technology,Phones,275.94
2015-11-04,2015,11,East,Technology,Accessories,360.0
2015-11-04,2015,11,East,Office Supplies,Storage,43.57
2015-09-19,2015,9,West,Office Supplies,Fasteners,7.16
2017-04-23,2017,4,West,Office Supplies,Binders,251.52
2017-04-23,2017,4,West,Technology,Accessories,99.99
2018-11-03,2018,11,South,Furniture,Furnishings,15.992
2017-08-30,2017,8,East,Technology,Phones,290.898
2017-08-30,2017,8,East,Office Supplies,Storage,54.224
2017-08-30,2017,8,East,Furniture,Chairs,786.744
2017-08-30,2017,8,East,Office Supplies,Labels,100.24
2017-08-30,2017,8,East,Office Supplies,Binders,37.764
2017-04-25,2017,4,East,Technology,Phones,82.8
2017-04-25,2017,4,East,Office Supplies,Binders,20.724
2017-04-25,2017,4,East,Office Supplies,Binders,4.896
2016-09-01,2016,9,West,Office Supplies,Binders,4.752
2016-09-01,2016,9,West,Technology,Copiers,959.984
2016-09-01,2016,9,West,Office Supplies,Binders,14.368
2015-07-12,2015,7,West,Office Supplies,Binders,7.712
2015-07-12,2015,7,West,Furniture,Tables,698.352
2016-06-22,2016,6,West,Office Supplies,Fasteners,4.96
2015-04-13,2015,4,East,Office Supplies,Art,17.856
2015-04-13,2015,4,East,Office Supplies,Binders,509.97
2015-04-13,2015,4,East,Office Supplies,Fasteners,30.992
2015-04-13,2015,4,East,Technology,Phones,71.928
2016-12-20,2016,12,Central,Office Supplies,Storage,88.8
2018-06-15,2018,6,West,Technology,Phones,47.976
2018-07-08,2018,7,East,Office Supplies,Art,7.56
2018-07-08,2018,7,East,Office Supplies,Paper,24.56
2018-07-08,2018,7,East,Office Supplies,Art,12.96
2017-09-01,2017,9,East,Technology,Accessories,6.79
2017-09-01,2017,9,East,Office Supplies,Paper,24.56
2017-09-01,2017,9,East,Office Supplies,Binders,3.048
2017-09-01,2017,9,East,Office Supplies,Paper,49.12
2017-09-01,2017,9,East,Office Supplies,Binders,4355.168
2017-04-08,2017,4,East,Furniture,Bookcases,388.704
2017-04-08,2017,4,East,Office Supplies,Envelopes,8.26
2017-04-08,2017,4,East,Office Supplies,Art,17.04
2017-04-08,2017,4,East,Office Supplies,Paper,34.4
2017-04-23,2017,4,South,Office Supplies,Paper,36.24
2018-03-08,2018,3,South,Office Supplies,Appliances,647.84
2018-03-08,2018,3,South,Office Supplies,Labels,20.7
2018-09-25,2018,9,East,Office Supplies,Labels,20.7
2018-09-25,2018,9,East,Furniture,Chairs,488.646
2018-09-25,2018,9,East,Office Supplies,Art,5.56
2018-09-25,2018,9,East,Furniture,Furnishings,47.12
2015-09-24,2015,9,West,Office Supplies,Storage,211.96
2017-10-21,2017,10,East,Office Supplies,Binders,23.2
2017-10-21,2017,10,East,Office Supplies,Supplies,7.36
2017-10-21,2017,10,East,Office Supplies,Storage,104.79
2017-10-21,2017,10,East,Furniture,Bookcases,1043.92
2018-05-29,2018,5,Central,Office Supplies,Paper,25.92
2018-05-29,2018,5,Central,Office Supplies,Storage,53.424
2015-07-23,2015,7,West,Office Supplies,Binders,8.16
2015-07-23,2015,7,West,Technology,Accessories,1023.936
2015-07-23,2015,7,West,Office Supplies,Art,9.24
2015-07-23,2015,7,West,Technology,Accessories,479.04
2017-09-28,2017,9,Central,Office Supplies,Paper,99.136
2018-08-27,2018,8,East,Furniture,Tables,1488.424
2016-04-28,2016,4,Central,Office Supplies,Appliances,8.652
2016-04-28,2016,4,Central,Office Supplies,Storage,23.832
2016-04-28,2016,4,Central,Office Supplies,Binders,12.176
2017-10-28,2017,10,West,Office Supplies,Paper,50.96
2017-10-28,2017,10,West,Office Supplies,Binders,49.536
2016-06-26,2016,6,Central,Technology,Accessories,41.9
2016-11-27,2016,11,South,Furniture,Tables,375.4575
2016-11-27,2016,11,South,Technology,Accessories,83.976
2016-12-03,2016,12,East,Technology,Machines,482.34
2016-12-03,2016,12,East,Furniture,Furnishings,2.96
2015-11-24,2015,11,East,Office Supplies,Art,2.624
2018-12-11,2018,12,East,Office Supplies,Binders,23.36
2018-12-11,2018,12,East,Technology,Accessories,39.98
2015-09-21,2015,9,West,Technology,Phones,246.384
2015-09-21,2015,9,West,Technology,Copiers,1799.97
2015-06-07,2015,6,Central,Office Supplies,Binders,12.462
2018-06-30,2018,6,West,Office Supplies,Binders,75.792
2018-10-17,2018,10,East,Office Supplies,Storage,49.96
2018-10-17,2018,10,East,Office Supplies,Paper,12.96
2016-10-31,2016,10,Central,Office Supplies,Supplies,70.12
2017-09-08,2017,9,Central,Office Supplies,Storage,35.952
2017-09-08,2017,9,Central,Furniture,Bookcases,2396.2656
2017-09-08,2017,9,Central,Office Supplies,Storage,131.136
2017-09-08,2017,9,Central,Technology,Accessories,57.584
2015-12-24,2015,12,South,Office Supplies,Paper,9.568
2015-04-16,2015,4,South,Office Supplies,Art,39.072
2018-12-24,2018,12,East,Office Supplies,Appliances,35.91
2018-12-08,2018,12,West,Technology,Accessories,179.95
2018-12-08,2018,12,West,Technology,Copiers,1199.976
2018-12-08,2018,12,West,Office Supplies,Paper,27.15
2018-12-08,2018,12,West,Furniture,Tables,1004.024
2018-12-08,2018,12,West,Office Supplies,Paper,9.68
2018-12-08,2018,12,West,Office Supplies,Labels,28.35
2018-12-08,2018,12,West,Office Supplies,Paper,55.98
2018-12-08,2018,12,West,Furniture,Bookcases,1336.829
2018-12-08,2018,12,West,Furniture,Chairs,113.568
2018-11-03,2018,11,West,Office Supplies,Paper,139.86
2018-11-03,2018,11,West,Furniture,Chairs,307.136
2018-06-24,2018,6,West,Office Supplies,Art,95.92
2017-04-14,2017,4,West,Furniture,Chairs,383.8
2018-11-06,2018,11,South,Office Supplies,Paper,5.78
2018-03-04,2018,3,West,Office Supplies,Art,9.32
2018-03-04,2018,3,West,Office Supplies,Envelopes,15.25
2015-06-22,2015,6,West,Technology,Accessories,196.752
2018-10-19,2018,10,East,Furniture,Furnishings,56.56
2018-10-19,2018,10,East,Office Supplies,Storage,32.7
2018-08-21,2018,8,South,Furniture,Chairs,866.4
2018-11-23,2018,11,Central,Furniture,Furnishings,28.4
2018-11-23,2018,11,Central,Office Supplies,Binders,287.92
2015-09-12,2015,9,East,Technology,Machines,69.99
2018-10-01,2018,10,Central,Office Supplies,Art,6.672
2017-04-15,2017,4,South,Office Supplies,Binders,189.588
2017-04-15,2017,4,South,Technology,Accessories,408.744
2017-04-15,2017,4,South,Technology,Accessories,291.96
2017-04-15,2017,4,South,Office Supplies,Storage,4.768
2017-06-06,2017,6,East,Office Supplies,Storage,714.3
2015-12-19,2015,12,South,Office Supplies,Binders,4.812
2015-12-19,2015,12,South,Technology,Accessories,247.8
2017-06-12,2017,6,Central,Technology,Machines,1007.979
2017-06-12,2017,6,Central,Office Supplies,Paper,313.488
2018-09-15,2018,9,Central,Office Supplies,Paper,31.872
2018-01-20,2018,1,East,Furniture,Chairs,207.846
2017-09-05,2017,9,Central,Furniture,Furnishings,12.22
2017-09-05,2017,9,Central,Office Supplies,Storage,194.94
2017-09-05,2017,9,Central,Office Supplies,Storage,70.95
2017-09-05,2017,9,Central,Office Supplies,Paper,91.36
2017-09-05,2017,9,Central,Furniture,Chairs,242.94
2017-09-05,2017,9,Central,Office Supplies,Labels,22.05
2018-03-20,2018,3,Central,Furniture,Furnishings,2.91
2017-04-01,2017,4,East,Office Supplies,Art,59.52
2017-04-01,2017,4,East,Office Supplies,Storage,161.94
2017-04-01,2017,4,East,Office Supplies,Art,263.88
2017-04-01,2017,4,East,Office Supplies,Art,30.48
2017-04-01,2017,4,East,Office Supplies,Art,9.84
2017-04-01,2017,4,East,Technology,Phones,35.12
2018-10-20,2018,10,East,Furniture,Tables,284.364
2018-10-20,2018,10,East,Office Supplies,Storage,665.408
2017-12-13,2017,12,Central,Technology,Accessories,63.88
2015-02-12,2015,2,West,Furniture,Chairs,129.568
2017-09-26,2017,9,Central,Furniture,Chairs,747.558
2017-09-26,2017,9,Central,Office Supplies,Envelopes,8.928
2016-12-15,2016,12,West,Office Supplies,Appliances,103.92
2016-12-15,2016,12,West,Technology,Accessories,899.91
2016-12-15,2016,12,West,Office Supplies,Binders,51.312
2017-04-22,2017,4,West,Furniture,Furnishings,23.56
2017-04-22,2017,4,West,Furniture,Tables,1272.63
2017-04-22,2017,4,West,Office Supplies,Binders,28.485
2017-04-22,2017,4,West,Office Supplies,Supplies,185.376
2017-04-22,2017,4,West,Office Supplies,Appliances,78.272
2016-01-17,2016,1,Central,Furniture,Furnishings,254.744
2018-03-31,2018,3,Central,Furniture,Bookcases,205.3328
2017-12-16,2017,12,Central,Office Supplies,Binders,4.788
2016-12-20,2016,12,East,Office Supplies,Paper,55.48
2015-11-09,2015,11,West,Office Supplies,Storage,340.92
2015-11-09,2015,11,West,Furniture,Bookcases,222.666
2015-11-09,2015,11,West,Technology,Phones,703.968
2015-11-09,2015,11,West,Office Supplies,Storage,92.52
2015-11-09,2015,11,West,Office Supplies,Paper,62.65
2015-11-09,2015,11,West,Office Supplies,Paper,94.85
2017-07-12,2017,7,West,Technology,Phones,95.76
2017-10-27,2017,10,East,Furniture,Furnishings,40.2
2017-06-26,2017,6,East,Office Supplies,Art,14.7
2017-06-26,2017,6,East,Office Supplies,Storage,704.25
2015-10-06,2015,10,West,Technology,Accessories,9.09
2015-07-22,2015,7,East,Office Supplies,Art,5.96
2015-07-22,2015,7,East,Technology,Accessories,159.98
